"","Latitude","Longitude","County","Hour","Season","Pollutant","Sample"
"134",32.579361,-116.929486,"San Diego","17",1,"Ozone",0.596507936507936
"135",32.579361,-116.929486,"San Diego","17",2,"NO2",0.0268131868131868
"136",32.579361,-116.929486,"San Diego","17",2,"Ozone",0.610675039246468
"137",32.579361,-116.929486,"San Diego","17",3,"NO2",0.0230434782608696
"138",32.579361,-116.929486,"San Diego","17",3,"Ozone",0.560714285714286
"139",32.579361,-116.929486,"San Diego","17",4,"NO2",0.0970454545454545
"140",32.579361,-116.929486,"San Diego","17",4,"Ozone",0.50916149068323
"141",32.579361,-116.929486,"San Diego","18",1,"NO2",0.0743956043956044
"142",32.579361,-116.929486,"San Diego","18",1,"Ozone",0.542857142857143
"143",32.579361,-116.929486,"San Diego","18",2,"NO2",0.029010989010989
"144",32.579361,-116.929486,"San Diego","18",2,"Ozone",0.575510204081633
"145",32.579361,-116.929486,"San Diego","18",3,"NO2",0.0307608695652174
"146",32.579361,-116.929486,"San Diego","18",3,"Ozone",0.504658385093168
"147",32.579361,-116.929486,"San Diego","18",4,"NO2",0.121931818181818
"148",32.579361,-116.929486,"San Diego","18",4,"Ozone",0.446894409937888
"149",32.579361,-116.929486,"San Diego","19",1,"NO2",0.109450549450549
"150",32.579361,-116.929486,"San Diego","19",1,"Ozone",0.463422291993721
"151",32.579361,-116.929486,"San Diego","19",2,"NO2",0.0325274725274725
"152",32.579361,-116.929486,"San Diego","19",2,"Ozone",0.544270015698587
"153",32.579361,-116.929486,"San Diego","19",3,"NO2",0.0309782608695652
"154",32.579361,-116.929486,"San Diego","19",3,"Ozone",0.468478260869565
"155",32.579361,-116.929486,"San Diego","19",4,"NO2",0.148977272727273
"156",32.579361,-116.929486,"San Diego","19",4,"Ozone",0.388664596273292
"157",32.579361,-116.929486,"San Diego","20",1,"NO2",0.134175824175824
"158",32.579361,-116.929486,"San Diego","20",1,"Ozone",0.414128728414443
"159",32.579361,-116.929486,"San Diego","20",2,"NO2",0.0386813186813187
"160",32.579361,-116.929486,"San Diego","20",2,"Ozone",0.513343799058085
"161",32.579361,-116.929486,"San Diego","20",3,"NO2",0.0333695652173913
"162",32.579361,-116.929486,"San Diego","20",3,"Ozone",0.43944099378882
"163",32.579361,-116.929486,"San Diego","20",4,"NO2",0.16375
"164",32.579361,-116.929486,"San Diego","20",4,"Ozone",0.355124223602484
"165",32.579361,-116.929486,"San Diego","21",1,"NO2",0.122527472527473
"166",32.579361,-116.929486,"San Diego","21",1,"Ozone",0.407692307692308
"167",32.579361,-116.929486,"San Diego","21",2,"NO2",0.049010989010989
"168",32.579361,-116.929486,"San Diego","21",2,"Ozone",0.483830455259027
"169",32.579361,-116.929486,"San Diego","21",3,"NO2",0.0492391304347826
"170",32.579361,-116.929486,"San Diego","21",3,"Ozone",0.397360248447205
