"","Latitude","Longitude","County","Hour","Weekend_day","Pollutant","Sample"
"188",32.631231,-117.059075,"San Diego","22","weekend","Ozone",0.325442176870748
"189",32.631231,-117.059075,"San Diego","23","weekday","NO2",0.124865900383142
"190",32.631231,-117.059075,"San Diego","23","weekday","Ozone",0.290859332238643
"191",32.631231,-117.059075,"San Diego","23","weekend","NO2",0.102
"192",32.631231,-117.059075,"San Diego","23","weekend","Ozone",0.316054421768707
"193",32.676186,-115.484144,"Imperial","00","weekday","CO",0.0106389010989011
"194",32.676186,-115.484144,"Imperial","00","weekday","NO2",0.102415384615385
"195",32.676186,-115.484144,"Imperial","00","weekday","Ozone",0.334835164835165
"196",32.676186,-115.484144,"Imperial","00","weekday","SO2",0.00569604086845466
"197",32.676186,-115.484144,"Imperial","00","weekend","CO",0.010956043956044
"198",32.676186,-115.484144,"Imperial","00","weekend","NO2",0.107528846153846
"199",32.676186,-115.484144,"Imperial","00","weekend","Ozone",0.333333333333333
"200",32.676186,-115.484144,"Imperial","00","weekend","SO2",0.00601282051282051
"201",32.676186,-115.484144,"Imperial","01","weekday","CO",0.00977351648351648
"202",32.676186,-115.484144,"Imperial","01","weekday","NO2",0.0924923076923077
"203",32.676186,-115.484144,"Imperial","01","weekday","Ozone",0.326318681318681
"204",32.676186,-115.484144,"Imperial","01","weekday","SO2",0.00519029374201788
"205",32.676186,-115.484144,"Imperial","01","weekend","CO",0.0100098901098901
"206",32.676186,-115.484144,"Imperial","01","weekend","NO2",0.0965480769230769
"207",32.676186,-115.484144,"Imperial","01","weekend","Ozone",0.326470588235294
"208",32.676186,-115.484144,"Imperial","01","weekend","SO2",0.00528205128205128
"209",32.676186,-115.484144,"Imperial","02","weekday","CO",0.00941868131868132
"210",32.676186,-115.484144,"Imperial","02","weekday","NO2",0.0907807692307692
"211",32.676186,-115.484144,"Imperial","02","weekday","Ozone",0.315609487038058
"212",32.676186,-115.484144,"Imperial","02","weekday","SO2",0.00484291187739464
"213",32.676186,-115.484144,"Imperial","02","weekend","CO",0.0105824175824176
"214",32.676186,-115.484144,"Imperial","02","weekend","NO2",0.0986057692307692
"215",32.676186,-115.484144,"Imperial","02","weekend","Ozone",0.314285714285714
"216",32.676186,-115.484144,"Imperial","02","weekend","SO2",0.00558974358974359
"217",32.676186,-115.484144,"Imperial","03","weekday","CO",0.00957186813186813
"218",32.676186,-115.484144,"Imperial","03","weekday","NO2",0.101596153846154
"219",32.676186,-115.484144,"Imperial","03","weekday","Ozone",0.288736263736264
"220",32.676186,-115.484144,"Imperial","03","weekday","SO2",0.00466411238825032
"221",32.676186,-115.484144,"Imperial","03","weekend","CO",0.0102598901098901
"222",32.676186,-115.484144,"Imperial","03","weekend","NO2",0.102644230769231
"223",32.676186,-115.484144,"Imperial","03","weekend","Ozone",0.29327731092437
"224",32.676186,-115.484144,"Imperial","03","weekend","SO2",0.00496153846153846
"225",32.676186,-115.484144,"Imperial","04","weekday","CO",0.02
"226",32.676186,-115.484144,"Imperial","04","weekday","NO2",0.146333333333333
"227",32.676186,-115.484144,"Imperial","04","weekday","Ozone",0.342857142857143
"228",32.676186,-115.484144,"Imperial","04","weekday","SO2",0.004
"229",32.676186,-115.484144,"Imperial","04","weekend","CO",0.0444857142857143
"230",32.676186,-115.484144,"Imperial","05","weekday","CO",0.015176043956044
"231",32.676186,-115.484144,"Imperial","05","weekday","NO2",0.165642307692308
"232",32.676186,-115.484144,"Imperial","05","weekday","Ozone",0.194065934065934
"233",32.676186,-115.484144,"Imperial","05","weekday","SO2",0.00735632183908046
"234",32.676186,-115.484144,"Imperial","05","weekend","CO",0.0120417582417582
"235",32.676186,-115.484144,"Imperial","05","weekend","NO2",0.122682692307692
"236",32.676186,-115.484144,"Imperial","05","weekend","Ozone",0.250280112044818
"237",32.676186,-115.484144,"Imperial","05","weekend","SO2",0.00594871794871795
"238",32.676186,-115.484144,"Imperial","06","weekday","CO",0.0179627472527473
"239",32.676186,-115.484144,"Imperial","06","weekday","NO2",0.188373076923077
"240",32.676186,-115.484144,"Imperial","06","weekday","Ozone",0.198571428571429
"241",32.676186,-115.484144,"Imperial","06","weekday","SO2",0.0107177522349936
"242",32.676186,-115.484144,"Imperial","06","weekend","CO",0.0137008241758242
"243",32.676186,-115.484144,"Imperial","06","weekend","NO2",0.127932692307692
"244",32.676186,-115.484144,"Imperial","06","weekend","Ozone",0.268458274398868
"245",32.676186,-115.484144,"Imperial","06","weekend","SO2",0.00729487179487179
"246",32.676186,-115.484144,"Imperial","07","weekday","CO",0.0166986710963455
"247",32.676186,-115.484144,"Imperial","07","weekday","NO2",0.178453488372093
"248",32.676186,-115.484144,"Imperial","07","weekday","Ozone",0.28516057585825
"249",32.676186,-115.484144,"Imperial","07","weekday","SO2",0.0131480051480051
"250",32.676186,-115.484144,"Imperial","07","weekend","CO",0.0134972527472527
"251",32.676186,-115.484144,"Imperial","07","weekend","NO2",0.131951923076923
"252",32.676186,-115.484144,"Imperial","07","weekend","Ozone",0.330975954738331
"253",32.676186,-115.484144,"Imperial","07","weekend","SO2",0.0108205128205128
"254",32.676186,-115.484144,"Imperial","08","weekday","CO",0.0117712079426365
"255",32.676186,-115.484144,"Imperial","08","weekday","NO2",0.138501945525292
"256",32.676186,-115.484144,"Imperial","08","weekday","Ozone",0.42281284606866
"257",32.676186,-115.484144,"Imperial","08","weekday","SO2",0.0130965250965251
"258",32.676186,-115.484144,"Imperial","08","weekend","CO",0.00995604395604396
"259",32.676186,-115.484144,"Imperial","08","weekend","NO2",0.108576923076923
"260",32.676186,-115.484144,"Imperial","08","weekend","Ozone",0.456582633053221
"261",32.676186,-115.484144,"Imperial","08","weekend","SO2",0.0118333333333333
"262",32.676186,-115.484144,"Imperial","09","weekday","CO",0.00796853807670928
"263",32.676186,-115.484144,"Imperial","09","weekday","NO2",0.098859375
"264",32.676186,-115.484144,"Imperial","09","weekday","Ozone",0.548860478043357
"265",32.676186,-115.484144,"Imperial","09","weekday","SO2",0.01309375
"266",32.676186,-115.484144,"Imperial","09","weekend","CO",0.00710247252747253
"267",32.676186,-115.484144,"Imperial","09","weekend","NO2",0.0804038461538462
"268",32.676186,-115.484144,"Imperial","09","weekend","Ozone",0.565406162464986
"269",32.676186,-115.484144,"Imperial","09","weekend","SO2",0.0129230769230769
"270",32.676186,-115.484144,"Imperial","10","weekday","CO",0.00619386160714286
"271",32.676186,-115.484144,"Imperial","10","weekday","NO2",0.0764078431372549
"272",32.676186,-115.484144,"Imperial","10","weekday","Ozone",0.633351862145636
"273",32.676186,-115.484144,"Imperial","10","weekday","SO2",0.013
"274",32.676186,-115.484144,"Imperial","10","weekend","CO",0.00576318681318681
"275",32.676186,-115.484144,"Imperial","10","weekend","NO2",0.0668557692307692
"276",32.676186,-115.484144,"Imperial","10","weekend","Ozone",0.642577030812325
"277",32.676186,-115.484144,"Imperial","10","weekend","SO2",0.0136153846153846
"278",32.676186,-115.484144,"Imperial","11","weekday","CO",0.00560850340136054
"279",32.676186,-115.484144,"Imperial","11","weekday","NO2",0.0644545454545455
"280",32.676186,-115.484144,"Imperial","11","weekday","Ozone",0.695219347581552
"281",32.676186,-115.484144,"Imperial","11","weekday","SO2",0.0124426877470356
"282",32.676186,-115.484144,"Imperial","11","weekend","CO",0.00497142857142857
"283",32.676186,-115.484144,"Imperial","11","weekend","NO2",0.0548846153846154
"284",32.676186,-115.484144,"Imperial","11","weekend","Ozone",0.682633053221288
"285",32.676186,-115.484144,"Imperial","11","weekend","SO2",0.0137948717948718
"286",32.676186,-115.484144,"Imperial","12","weekday","CO",0.00533258046301525
"287",32.676186,-115.484144,"Imperial","12","weekday","NO2",0.05969921875
"288",32.676186,-115.484144,"Imperial","12","weekday","Ozone",0.725446428571428
"289",32.676186,-115.484144,"Imperial","12","weekday","SO2",0.0129427083333333
"290",32.676186,-115.484144,"Imperial","12","weekend","CO",0.0045043956043956
"291",32.676186,-115.484144,"Imperial","12","weekend","NO2",0.0469711538461538
"292",32.676186,-115.484144,"Imperial","12","weekend","Ozone",0.705602240896358
"293",32.676186,-115.484144,"Imperial","12","weekend","SO2",0.0129230769230769
"294",32.676186,-115.484144,"Imperial","13","weekday","CO",0.00505163104611924
"295",32.676186,-115.484144,"Imperial","13","weekday","NO2",0.0581294117647059
"296",32.676186,-115.484144,"Imperial","13","weekday","Ozone",0.728683473389356
"297",32.676186,-115.484144,"Imperial","13","weekday","SO2",0.0115328083989501
"298",32.676186,-115.484144,"Imperial","13","weekend","CO",0.00435659340659341
"299",32.676186,-115.484144,"Imperial","13","weekend","NO2",0.0431538461538462
"300",32.676186,-115.484144,"Imperial","13","weekend","Ozone",0.710084033613445
"301",32.676186,-115.484144,"Imperial","13","weekend","SO2",0.0131282051282051
"302",32.676186,-115.484144,"Imperial","14","weekday","CO",0.00502201222901612
"303",32.676186,-115.484144,"Imperial","14","weekday","NO2",0.058921568627451
"304",32.676186,-115.484144,"Imperial","14","weekday","Ozone",0.716964285714286
"305",32.676186,-115.484144,"Imperial","14","weekday","SO2",0.010556862745098
"306",32.676186,-115.484144,"Imperial","14","weekend","CO",0.00434285714285714
"307",32.676186,-115.484144,"Imperial","14","weekend","NO2",0.0417692307692308
"308",32.676186,-115.484144,"Imperial","14","weekend","Ozone",0.709243697478992
"309",32.676186,-115.484144,"Imperial","14","weekend","SO2",0.0109871794871795
"310",32.676186,-115.484144,"Imperial","15","weekday","CO",0.00506637020566982
"311",32.676186,-115.484144,"Imperial","15","weekday","NO2",0.0594509803921569
"312",32.676186,-115.484144,"Imperial","15","weekday","Ozone",0.704520089285714
"313",32.676186,-115.484144,"Imperial","15","weekday","SO2",0.0106199740596628
"314",32.676186,-115.484144,"Imperial","15","weekend","CO",0.00436236263736264
"315",32.676186,-115.484144,"Imperial","15","weekend","NO2",0.0423173076923077
"316",32.676186,-115.484144,"Imperial","15","weekend","Ozone",0.701680672268908
"317",32.676186,-115.484144,"Imperial","15","weekend","SO2",0.00964102564102564
"318",32.676186,-115.484144,"Imperial","16","weekday","CO",0.00585369649805447
"319",32.676186,-115.484144,"Imperial","16","weekday","NO2",0.0792101167315175
"320",32.676186,-115.484144,"Imperial","16","weekday","Ozone",0.6421926910299
"321",32.676186,-115.484144,"Imperial","16","weekday","SO2",0.00931274131274131
"322",32.676186,-115.484144,"Imperial","16","weekend","CO",0.00481593406593407
"323",32.676186,-115.484144,"Imperial","16","weekend","NO2",0.053875
"324",32.676186,-115.484144,"Imperial","16","weekend","Ozone",0.665266106442577
"325",32.676186,-115.484144,"Imperial","16","weekend","SO2",0.00883333333333333
"326",32.676186,-115.484144,"Imperial","17","weekday","CO",0.00813477297895903
"327",32.676186,-115.484144,"Imperial","17","weekday","NO2",0.136521235521236
"328",32.676186,-115.484144,"Imperial","17","weekday","Ozone",0.506287920573635
"329",32.676186,-115.484144,"Imperial","17","weekday","SO2",0.00857435897435897
"330",32.676186,-115.484144,"Imperial","17","weekend","CO",0.00630934065934066
"331",32.676186,-115.484144,"Imperial","17","weekend","NO2",0.0914615384615385
"332",32.676186,-115.484144,"Imperial","17","weekend","Ozone",0.557142857142857
"333",32.676186,-115.484144,"Imperial","17","weekend","SO2",0.00769230769230769
"334",32.676186,-115.484144,"Imperial","18","weekday","CO",0.0118227472527473
"335",32.676186,-115.484144,"Imperial","18","weekday","NO2",0.185876923076923
"336",32.676186,-115.484144,"Imperial","18","weekday","Ozone",0.384010989010989
"337",32.676186,-115.484144,"Imperial","18","weekday","SO2",0.00847509578544061
"338",32.676186,-115.484144,"Imperial","18","weekend","CO",0.00978973647711512
"339",32.676186,-115.484144,"Imperial","18","weekend","NO2",0.144466019417476
"340",32.676186,-115.484144,"Imperial","18","weekend","Ozone",0.424229691876751
"341",32.676186,-115.484144,"Imperial","18","weekend","SO2",0.00728205128205128
"342",32.676186,-115.484144,"Imperial","19","weekday","CO",0.0144328407224959
"343",32.676186,-115.484144,"Imperial","19","weekday","NO2",0.202084615384615
"344",32.676186,-115.484144,"Imperial","19","weekday","Ozone",0.322307692307692
"345",32.676186,-115.484144,"Imperial","19","weekday","SO2",0.00981353767560664
"346",32.676186,-115.484144,"Imperial","19","weekend","CO",0.0124196948682386
"347",32.676186,-115.484144,"Imperial","19","weekend","NO2",0.173221153846154
"348",32.676186,-115.484144,"Imperial","19","weekend","Ozone",0.355602240896359
"349",32.676186,-115.484144,"Imperial","19","weekend","SO2",0.00852564102564103
"350",32.676186,-115.484144,"Imperial","20","weekday","CO",0.0151207942636514
"351",32.676186,-115.484144,"Imperial","20","weekday","NO2",0.187316602316602
"352",32.676186,-115.484144,"Imperial","20","weekday","Ozone",0.317197802197802
"353",32.676186,-115.484144,"Imperial","20","weekday","SO2",0.0103025641025641
"354",32.676186,-115.484144,"Imperial","20","weekend","CO",0.0136879334257975
"355",32.676186,-115.484144,"Imperial","20","weekend","NO2",0.17025
"356",32.676186,-115.484144,"Imperial","20","weekend","Ozone",0.341736694677871
"357",32.676186,-115.484144,"Imperial","20","weekend","SO2",0.00873076923076923
"358",32.676186,-115.484144,"Imperial","21","weekday","CO",0.014189010989011
"359",32.676186,-115.484144,"Imperial","21","weekday","NO2",0.171223938223938
"360",32.676186,-115.484144,"Imperial","21","weekday","Ozone",0.314506343077772
