"","Latitude","Longitude","County","Season","Pollutant","Sample"
"353",34.05111,-118.45636,"Los Angeles",1,"NO2",0.150755399296836
"354",34.05111,-118.45636,"Los Angeles",1,"Ozone",0.376348250143431
"355",34.05111,-118.45636,"Los Angeles",2,"CO",0.00648749640701351
"356",34.05111,-118.45636,"Los Angeles",2,"NO2",0.078353591160221
"357",34.05111,-118.45636,"Los Angeles",2,"Ozone",0.498092369477912
"358",34.05111,-118.45636,"Los Angeles",3,"CO",0.00625748502994012
"359",34.05111,-118.45636,"Los Angeles",3,"NO2",0.0690044910179641
"360",34.05111,-118.45636,"Los Angeles",3,"Ozone",0.457577701739378
"361",34.05111,-118.45636,"Los Angeles",4,"CO",0.0121452145214521
"362",34.05111,-118.45636,"Los Angeles",4,"NO2",0.161840641206978
"363",34.05111,-118.45636,"Los Angeles",4,"Ozone",0.334794908062235
"364",34.05977,-117.14731,"San Bernardino",1,"Ozone",0.434298088821669
"365",34.05977,-117.14731,"San Bernardino",2,"Ozone",0.59766183306737
"366",34.05977,-117.14731,"San Bernardino",3,"Ozone",0.649539607312119
"367",34.05977,-117.14731,"San Bernardino",4,"Ozone",0.391184846678588
"368",34.06659,-118.22688,"Los Angeles",1,"CO",0.0148754262370253
"369",34.06659,-118.22688,"Los Angeles",1,"NO2",0.263514929025942
"370",34.06659,-118.22688,"Los Angeles",1,"Ozone",0.278700790154535
"371",34.06659,-118.22688,"Los Angeles",1,"SO2",0.00234245396661504
"372",34.06659,-118.22688,"Los Angeles",2,"CO",0.00929881131399928
"373",34.06659,-118.22688,"Los Angeles",2,"NO2",0.154767371601208
"374",34.06659,-118.22688,"Los Angeles",2,"Ozone",0.4612214069918
"375",34.06659,-118.22688,"Los Angeles",2,"SO2",0.00301521993644422
"376",34.06659,-118.22688,"Los Angeles",3,"CO",0.0089213042412356
"377",34.06659,-118.22688,"Los Angeles",3,"NO2",0.159489208633094
"378",34.06659,-118.22688,"Los Angeles",3,"Ozone",0.420691582256374
"379",34.06659,-118.22688,"Los Angeles",3,"SO2",0.00528809414641602
"380",34.06659,-118.22688,"Los Angeles",4,"CO",0.0152099352051836
"381",34.06659,-118.22688,"Los Angeles",4,"NO2",0.248640838650866
"382",34.06659,-118.22688,"Los Angeles",4,"Ozone",0.228330511785389
"383",34.06659,-118.22688,"Los Angeles",4,"SO2",0.00584455642082761
"384",34.06703,-117.7514,"Los Angeles",1,"CO",0.00806845238095238
"385",34.06703,-117.7514,"Los Angeles",1,"NO2",0.247729927007299
"386",34.06703,-117.7514,"Los Angeles",1,"Ozone",0.268928571428571
"387",34.06703,-117.7514,"Los Angeles",2,"CO",0.00368811024167301
"388",34.06703,-117.7514,"Los Angeles",2,"NO2",0.147811833171678
"389",34.06703,-117.7514,"Los Angeles",2,"Ozone",0.460814742967992
"390",34.06703,-117.7514,"Los Angeles",3,"CO",0.00680781089414183
"391",34.06703,-117.7514,"Los Angeles",3,"NO2",0.170629913710451
"392",34.06703,-117.7514,"Los Angeles",3,"Ozone",0.467600328722093
"393",34.06703,-117.7514,"Los Angeles",4,"CO",0.0166715212498345
"394",34.06703,-117.7514,"Los Angeles",4,"NO2",0.242012796208531
"395",34.06703,-117.7514,"Los Angeles",4,"Ozone",0.20311134648484
"396",34.067802,-117.526711,"San Bernardino",1,"CO",0.0172608551541266
"397",34.067802,-117.526711,"San Bernardino",1,"NO2",0.330921568627451
"398",34.067802,-117.526711,"San Bernardino",2,"CO",0.0108682180763399
"399",34.067802,-117.526711,"San Bernardino",2,"NO2",0.247561895551257
"400",34.067802,-117.526711,"San Bernardino",3,"CO",0.0118778748083461
"401",34.067802,-117.526711,"San Bernardino",3,"NO2",0.282941176470588
