County,Month,Dayofweek,Pollutant,Sample,Latitude,Longitude
Alameda,5,Tues,Ozone,0.404945055,37.687526,-121.784217
Alameda,5,Tues,SO2,0.011866667,37.814781,-122.282347
Alameda,5,Wed,CO,0.008915537,37.743065,-122.169935
Alameda,5,Wed,NO2,0.083594714,37.687526,-121.784217
Alameda,5,Wed,Ozone,0.418712716,37.687526,-121.784217
Alameda,5,Wed,SO2,0.013621212,37.814781,-122.282347
Alameda,5,Thurs,CO,0.00815565,37.743065,-122.169935
Alameda,5,Thurs,NO2,0.064957965,37.687526,-121.784217
Alameda,5,Thurs,Ozone,0.483259912,37.687526,-121.784217
Alameda,5,Thurs,SO2,0.010184739,37.814781,-122.282347
Alameda,5,Fri,CO,0.008287815,37.743065,-122.169935
Alameda,5,Fri,NO2,0.072030702,37.687526,-121.784217
Alameda,5,Fri,Ozone,0.47202121,37.687526,-121.784217
Alameda,5,Fri,SO2,0.010139535,37.814781,-122.282347
Alameda,5,Sat,CO,0.008654244,37.743065,-122.169935
Alameda,5,Sat,NO2,0.06193913,37.687526,-121.784217
Alameda,5,Sat,Ozone,0.46484472,37.687526,-121.784217
Alameda,5,Sat,SO2,0.010393939,37.814781,-122.282347
Alameda,6,Sun,CO,0.009182195,37.743065,-122.169935
Alameda,6,Sun,NO2,0.065136957,37.687526,-121.784217
Alameda,6,Sun,Ozone,0.46749528,37.687526,-121.784217
Alameda,6,Sun,SO2,0.012439394,37.814781,-122.282347
Alameda,6,Mon,CO,0.008550649,37.743065,-122.169935
Alameda,6,Mon,NO2,0.082538462,37.687526,-121.784217
Alameda,6,Mon,Ozone,0.408602826,37.687526,-121.784217
Alameda,6,Mon,SO2,0.011530303,37.814781,-122.282347
Alameda,6,Tues,CO,0.008495093,37.743065,-122.169935
Alameda,6,Tues,NO2,0.080623348,37.687526,-121.784217
Alameda,6,Tues,Ozone,0.405254877,37.687526,-121.784217
Alameda,6,Tues,SO2,0.011772727,37.814781,-122.282347
Alameda,6,Wed,CO,0.007563541,37.743065,-122.169935
Alameda,6,Wed,NO2,0.056971681,37.687526,-121.784217
Alameda,6,Wed,Ozone,0.41009896,37.687526,-121.784217
Alameda,6,Wed,SO2,0.014352201,37.814781,-122.282347
Alameda,6,Thurs,CO,0.008313307,37.743065,-122.169935
Alameda,6,Thurs,NO2,0.072185383,37.687526,-121.784217
Alameda,6,Thurs,Ozone,0.435778869,37.687526,-121.784217
Alameda,6,Thurs,SO2,0.014813187,37.814781,-122.282347
Alameda,6,Fri,CO,0.009407407,37.743065,-122.169935
Alameda,6,Fri,NO2,0.086061674,37.687526,-121.784217
Alameda,6,Fri,Ozone,0.433928571,37.687526,-121.784217
Alameda,6,Fri,SO2,0.015636364,37.814781,-122.282347
Alameda,6,Sat,CO,0.009430642,37.743065,-122.169935
Alameda,6,Sat,NO2,0.078615217,37.687526,-121.784217
Alameda,6,Sat,Ozone,0.48431677,37.687526,-121.784217
Alameda,6,Sat,SO2,0.012545455,37.814781,-122.282347
Alameda,7,Sun,CO,0.009887566,37.743065,-122.169935
Alameda,7,Sun,NO2,0.051172414,37.687526,-121.784217
Alameda,7,Sun,Ozone,0.348726802,37.687526,-121.784217
Alameda,7,Sun,SO2,0.011646586,37.814781,-122.282347
Alameda,7,Mon,CO,0.009810576,37.743065,-122.169935
Alameda,7,Mon,NO2,0.06794708,37.687526,-121.784217
Alameda,7,Mon,Ozone,0.334353741,37.687526,-121.784217
Alameda,7,Mon,SO2,0.010821705,37.814781,-122.282347
Alameda,7,Tues,CO,0.009828259,37.743065,-122.169935
Alameda,7,Tues,NO2,0.077299817,37.687526,-121.784217
Alameda,7,Tues,Ozone,0.350391032,37.687526,-121.784217
Alameda,7,Tues,SO2,0.010772727,37.814781,-122.282347
Alameda,7,Wed,CO,0.010101483,37.743065,-122.169935
Alameda,7,Wed,NO2,0.087571949,37.687526,-121.784217
Alameda,7,Wed,Ozone,0.349284413,37.687526,-121.784217
Alameda,7,Wed,SO2,0.021829457,37.814781,-122.282347
Alameda,7,Thurs,CO,0.00971112,37.743065,-122.169935
Alameda,7,Thurs,NO2,0.082965455,37.687526,-121.784217
Alameda,7,Thurs,Ozone,0.315858453,37.687526,-121.784217
Alameda,7,Thurs,SO2,0.01535743,37.814781,-122.282347
Alameda,7,Fri,CO,0.010072751,37.743065,-122.169935
Alameda,7,Fri,NO2,0.085487518,37.687526,-121.784217
Alameda,7,Fri,Ozone,0.322577873,37.687526,-121.784217
Alameda,7,Fri,SO2,0.016750958,37.814781,-122.282347
Alameda,7,Sat,CO,0.00967699,37.743065,-122.169935
Alameda,7,Sat,NO2,0.059376119,37.687526,-121.784217
Alameda,7,Sat,Ozone,0.329872101,37.687526,-121.784217
Alameda,7,Sat,SO2,0.0103,37.814781,-122.282347
Alameda,8,Sun,CO,0.011226708,37.743065,-122.169935
Alameda,8,Sun,NO2,0.051313406,37.687526,-121.784217
Alameda,8,Sun,Ozone,0.388819876,37.687526,-121.784217
Alameda,8,Sun,SO2,0.008560606,37.814781,-122.282347
Alameda,8,Mon,CO,0.010244898,37.743065,-122.169935
Alameda,8,Mon,NO2,0.07509119,37.687526,-121.784217
Alameda,8,Mon,Ozone,0.336211084,37.687526,-121.784217
Alameda,8,Mon,SO2,0.008878788,37.814781,-122.282347
Alameda,8,Tues,CO,0.010446642,37.743065,-122.169935
Alameda,8,Tues,NO2,0.082419458,37.687526,-121.784217
Alameda,8,Tues,Ozone,0.323846668,37.687526,-121.784217
Alameda,8,Tues,SO2,0.009749104,37.814781,-122.282347
Alameda,8,Wed,CO,0.010800265,37.743065,-122.169935
Alameda,8,Wed,NO2,0.087339478,37.687526,-121.784217
Alameda,8,Wed,Ozone,0.329028746,37.687526,-121.784217
Alameda,8,Wed,SO2,0.014790378,37.814781,-122.282347
Alameda,8,Thurs,CO,0.011173896,37.743065,-122.169935
Alameda,8,Thurs,NO2,0.080162362,37.687526,-121.784217
Alameda,8,Thurs,Ozone,0.338537601,37.687526,-121.784217
Alameda,8,Thurs,SO2,0.00924031,37.814781,-122.282347
Alameda,8,Fri,CO,0.011631538,37.743065,-122.169935
Alameda,8,Fri,NO2,0.085349091,37.687526,-121.784217
Alameda,8,Fri,Ozone,0.360170807,37.687526,-121.784217
Alameda,8,Fri,SO2,0.010893939,37.814781,-122.282347
Alameda,8,Sat,CO,0.011498447,37.743065,-122.169935
Alameda,8,Sat,NO2,0.062809783,37.687526,-121.784217
Alameda,8,Sat,Ozone,0.391433747,37.687526,-121.784217
Alameda,8,Sat,SO2,0.009318182,37.814781,-122.282347
Alameda,9,Sun,CO,0.013919813,37.743065,-122.169935
Alameda,9,Sun,NO2,0.088577132,37.687526,-121.784217
Alameda,9,Sun,Ozone,0.413146998,37.687526,-121.784217
Alameda,9,Sun,SO2,0.008106061,37.814781,-122.282347
Alameda,9,Mon,CO,0.014516514,37.743065,-122.169935
Alameda,9,Mon,NO2,0.130147005,37.687526,-121.784217
Alameda,9,Mon,Ozone,0.405330882,37.687526,-121.784217
Alameda,9,Mon,SO2,0.01355,37.814781,-122.282347
Alameda,9,Tues,CO,0.01427736,37.743065,-122.169935
Alameda,9,Tues,NO2,0.131471483,37.687526,-121.784217
Alameda,9,Tues,Ozone,0.387747357,37.687526,-121.784217
Alameda,9,Tues,SO2,0.010512077,37.814781,-122.282347
Alameda,9,Wed,CO,0.013422706,37.743065,-122.169935
Alameda,9,Wed,NO2,0.111880228,37.687526,-121.784217
Alameda,9,Wed,Ozone,0.35258012,37.687526,-121.784217
Alameda,9,Wed,SO2,0.007041667,37.814781,-122.282347
Alameda,9,Thurs,CO,0.011788932,37.743065,-122.169935
Alameda,9,Thurs,NO2,0.091894977,37.687526,-121.784217
Alameda,9,Thurs,Ozone,0.365688964,37.687526,-121.784217
Alameda,9,Thurs,SO2,0.004843537,37.814781,-122.282347
Alameda,9,Fri,CO,0.012712398,37.743065,-122.169935
Alameda,9,Fri,NO2,0.094276878,37.687526,-121.784217
Alameda,9,Fri,Ozone,0.385547931,37.687526,-121.784217
Alameda,9,Fri,SO2,0.008423676,37.814781,-122.282347
Alameda,9,Sat,CO,0.012201405,37.743065,-122.169935
Alameda,9,Sat,NO2,0.074916364,37.687526,-121.784217
Alameda,9,Sat,Ozone,0.362836439,37.687526,-121.784217
Alameda,9,Sat,SO2,0.004530303,37.814781,-122.282347
Alameda,10,Sun,CO,0.013130435,37.743065,-122.169935
Alameda,10,Sun,NO2,0.075877061,37.687526,-121.784217
Alameda,10,Sun,Ozone,0.433907563,37.687526,-121.784217
Alameda,10,Sun,SO2,0.004763636,37.814781,-122.282347
Alameda,10,Mon,CO,0.012516704,37.743065,-122.169935
Alameda,10,Mon,NO2,0.103813988,37.687526,-121.784217
Alameda,10,Mon,Ozone,0.397264885,37.687526,-121.784217
Alameda,10,Mon,SO2,0.004024465,37.814781,-122.282347
Alameda,10,Tues,CO,0.012045277,37.743065,-122.169935
Alameda,10,Tues,NO2,0.103347905,37.687526,-121.784217
Alameda,10,Tues,Ozone,0.380562061,37.687526,-121.784217
Alameda,10,Tues,SO2,0.004909091,37.814781,-122.282347
Alameda,10,Wed,CO,0.013097206,37.743065,-122.169935
Alameda,10,Wed,NO2,0.131368132,37.687526,-121.784217
Alameda,10,Wed,Ozone,0.298168498,37.687526,-121.784217
Alameda,10,Wed,SO2,0.008742424,37.814781,-122.282347
Alameda,10,Thurs,CO,0.01539726,37.743065,-122.169935
Alameda,10,Thurs,NO2,0.150010949,37.687526,-121.784217
Alameda,10,Thurs,Ozone,0.237064935,37.687526,-121.784217
Alameda,10,Thurs,SO2,0.008787879,37.814781,-122.282347
Alameda,10,Fri,CO,0.015643252,37.743065,-122.169935
Alameda,10,Fri,NO2,0.143374302,37.687526,-121.784217
Alameda,10,Fri,Ozone,0.267127216,37.687526,-121.784217
Alameda,10,Fri,SO2,0.008248062,37.814781,-122.282347
Alameda,10,Sat,CO,0.015391304,37.743065,-122.169935
Alameda,10,Sat,NO2,0.111641679,37.687526,-121.784217
Alameda,10,Sat,Ozone,0.36075057,37.687526,-121.784217
Alameda,10,Sat,SO2,0.007987879,37.814781,-122.282347
Alameda,11,Sun,CO,0.015229814,37.743065,-122.169935
Alameda,11,Sun,NO2,0.105596591,37.687526,-121.784217
Alameda,11,Sun,Ozone,0.311477181,37.687526,-121.784217
Alameda,11,Sun,SO2,0.006545455,37.814781,-122.282347
Alameda,11,Mon,CO,0.017167993,37.743065,-122.169935
Alameda,11,Mon,NO2,0.151011605,37.687526,-121.784217
Alameda,11,Mon,Ozone,0.242359768,37.687526,-121.784217
Alameda,11,Mon,SO2,0.009575758,37.814781,-122.282347
Alameda,11,Tues,CO,0.014907996,37.743065,-122.169935
Alameda,11,Tues,NO2,0.144,37.687526,-121.784217
Alameda,11,Tues,Ozone,0.298862393,37.687526,-121.784217
Alameda,11,Tues,SO2,0.00864257,37.814781,-122.282347
Alameda,11,Wed,CO,0.015394958,37.743065,-122.169935
Alameda,11,Wed,NO2,0.153178788,37.687526,-121.784217
Alameda,11,Wed,Ozone,0.281133304,37.687526,-121.784217
Alameda,11,Wed,SO2,0.011454545,37.814781,-122.282347
Alameda,11,Thurs,CO,0.01795118,37.743065,-122.169935
Alameda,11,Thurs,NO2,0.161517367,37.687526,-121.784217
Alameda,11,Thurs,Ozone,0.243120232,37.687526,-121.784217
Alameda,11,Thurs,SO2,0.016313725,37.814781,-122.282347
Alameda,11,Fri,CO,0.017739496,37.743065,-122.169935
Alameda,11,Fri,NO2,0.174673585,37.687526,-121.784217
Alameda,11,Fri,Ozone,0.277656378,37.687526,-121.784217
Alameda,11,Fri,SO2,0.015613527,37.814781,-122.282347
Alameda,11,Sat,CO,0.012927536,37.743065,-122.169935
Alameda,11,Sat,NO2,0.096986767,37.687526,-121.784217
Alameda,11,Sat,Ozone,0.379692142,37.687526,-121.784217
Alameda,11,Sat,SO2,0.004080808,37.814781,-122.282347
Alameda,12,Sun,CO,0.018265605,37.743065,-122.169935
Alameda,12,Sun,NO2,0.150201923,37.687526,-121.784217
Alameda,12,Sun,Ozone,0.227152755,37.687526,-121.784217
Alameda,12,Sun,SO2,0.016121212,37.814781,-122.282347
Alameda,12,Mon,CO,0.015124585,37.743065,-122.169935
Alameda,12,Mon,NO2,0.150535211,37.687526,-121.784217
Alameda,12,Mon,Ozone,0.223302938,37.687526,-121.784217
Alameda,12,Mon,SO2,0.012747475,37.814781,-122.282347
Alameda,12,Tues,CO,0.01867036,37.743065,-122.169935
Alameda,12,Tues,NO2,0.223615894,37.687526,-121.784217
Alameda,12,Tues,Ozone,0.178103837,37.687526,-121.784217
Alameda,12,Tues,SO2,0.017121951,37.814781,-122.282347
Alameda,12,Wed,CO,0.017369243,37.743065,-122.169935
Alameda,12,Wed,NO2,0.187906318,37.687526,-121.784217
Alameda,12,Wed,Ozone,0.199620733,37.687526,-121.784217
Alameda,12,Wed,SO2,0.014454545,37.814781,-122.282347
Alameda,12,Thurs,CO,0.01722485,37.743065,-122.169935
Alameda,12,Thurs,NO2,0.187455497,37.687526,-121.784217
Alameda,12,Thurs,Ozone,0.200526316,37.687526,-121.784217
Alameda,12,Thurs,SO2,0.017501502,37.814781,-122.282347
Alameda,12,Fri,CO,0.014933333,37.743065,-122.169935
Alameda,12,Fri,NO2,0.156418728,37.687526,-121.784217
Alameda,12,Fri,Ozone,0.301234568,37.687526,-121.784217
Alameda,12,Fri,SO2,0.010095238,37.814781,-122.282347
Alameda,12,Sat,CO,0.016445183,37.743065,-122.169935
Alameda,12,Sat,NO2,0.151579235,37.687526,-121.784217
Alameda,12,Sat,Ozone,0.262437746,37.687526,-121.784217
Alameda,12,Sat,SO2,0.010606061,37.814781,-122.282347
Contra Costa,1,Sun,CO,0.010824017,37.936013,-122.026154
Contra Costa,1,Sun,NO2,0.061605797,37.936013,-122.026154
Contra Costa,1,Sun,Ozone,0.316935818,37.936013,-122.026154
Contra Costa,1,Sun,SO2,0.011298765,37.936013,-122.026154
Contra Costa,1,Mon,CO,0.012598344,37.936013,-122.026154
Contra Costa,1,Mon,NO2,0.10323913,37.936013,-122.026154
Contra Costa,1,Mon,Ozone,0.224120083,37.936013,-122.026154
Contra Costa,1,Mon,SO2,0.011579468,37.936013,-122.026154
Contra Costa,1,Tues,CO,0.011945177,37.936013,-122.026154
Contra Costa,1,Tues,NO2,0.098357934,37.936013,-122.026154
Contra Costa,1,Tues,Ozone,0.226462836,37.936013,-122.026154
Contra Costa,1,Tues,SO2,0.012095417,37.936013,-122.026154
Contra Costa,1,Wed,CO,0.010807453,37.936013,-122.026154
Contra Costa,1,Wed,NO2,0.084572464,37.936013,-122.026154
Contra Costa,1,Wed,Ozone,0.293115942,37.936013,-122.026154
Contra Costa,1,Wed,SO2,0.012632099,37.936013,-122.026154
Contra Costa,1,Thurs,CO,0.013263816,37.936013,-122.026154
Contra Costa,1,Thurs,NO2,0.115047445,37.936013,-122.026154
Contra Costa,1,Thurs,Ozone,0.174869656,37.936013,-122.026154
Contra Costa,1,Thurs,SO2,0.013900867,37.936013,-122.026154
Contra Costa,1,Fri,CO,0.01157764,37.936013,-122.026154
Contra Costa,1,Fri,NO2,0.083997101,37.936013,-122.026154
Contra Costa,1,Fri,Ozone,0.271677019,37.936013,-122.026154
Contra Costa,1,Fri,SO2,0.01220208,37.936013,-122.026154
Contra Costa,1,Sat,CO,0.010923395,37.936013,-122.026154
Contra Costa,1,Sat,NO2,0.067744928,37.936013,-122.026154
Contra Costa,1,Sat,Ozone,0.335238095,37.936013,-122.026154
Contra Costa,1,Sat,SO2,0.01225679,37.936013,-122.026154
Contra Costa,2,Sun,CO,0.012557877,37.936013,-122.026154
Contra Costa,2,Sun,NO2,0.07726087,37.936013,-122.026154
Contra Costa,2,Sun,Ozone,0.257029927,37.936013,-122.026154
Contra Costa,2,Sun,SO2,0.016200772,37.936013,-122.026154
Contra Costa,2,Mon,CO,0.011638913,37.936013,-122.026154
Contra Costa,2,Mon,NO2,0.082662577,37.936013,-122.026154
Contra Costa,2,Mon,Ozone,0.289044698,37.936013,-122.026154
Contra Costa,2,Mon,SO2,0.014901961,37.936013,-122.026154
Contra Costa,2,Tues,CO,0.012235794,37.936013,-122.026154
Contra Costa,2,Tues,NO2,0.105390335,37.936013,-122.026154
Contra Costa,2,Tues,Ozone,0.268667021,37.936013,-122.026154
Contra Costa,2,Tues,SO2,0.01515882,37.936013,-122.026154
Contra Costa,2,Wed,CO,0.012060041,37.936013,-122.026154
Contra Costa,2,Wed,NO2,0.105851449,37.936013,-122.026154
Contra Costa,2,Wed,Ozone,0.294099379,37.936013,-122.026154
Contra Costa,2,Wed,SO2,0.016257661,37.936013,-122.026154
Contra Costa,2,Thurs,CO,0.012556936,37.936013,-122.026154
Contra Costa,2,Thurs,NO2,0.104655797,37.936013,-122.026154
Contra Costa,2,Thurs,Ozone,0.319409938,37.936013,-122.026154
Contra Costa,2,Thurs,SO2,0.016585971,37.936013,-122.026154
Contra Costa,2,Fri,CO,0.012712215,37.936013,-122.026154
Contra Costa,2,Fri,NO2,0.103326087,37.936013,-122.026154
Contra Costa,2,Fri,Ozone,0.271687371,37.936013,-122.026154
Contra Costa,2,Fri,SO2,0.014168525,37.936013,-122.026154
Contra Costa,2,Sat,CO,0.012064732,37.936013,-122.026154
Contra Costa,2,Sat,NO2,0.074820313,37.936013,-122.026154
Contra Costa,2,Sat,Ozone,0.288560268,37.936013,-122.026154
Contra Costa,2,Sat,SO2,0.014382598,37.936013,-122.026154
Contra Costa,3,Sun,CO,0.009585921,37.936013,-122.026154
Contra Costa,3,Sun,NO2,0.026731884,37.936013,-122.026154
Contra Costa,3,Sun,Ozone,0.458281573,37.936013,-122.026154
Contra Costa,3,Sun,SO2,0.011217284,37.936013,-122.026154
Contra Costa,3,Mon,CO,0.009389234,37.936013,-122.026154
Contra Costa,3,Mon,NO2,0.037576087,37.936013,-122.026154
Contra Costa,3,Mon,Ozone,0.497308489,37.936013,-122.026154
Contra Costa,3,Mon,SO2,0.011442379,37.936013,-122.026154
Contra Costa,3,Tues,CO,0.010714286,37.936013,-122.026154
Contra Costa,3,Tues,NO2,0.059637681,37.936013,-122.026154
Contra Costa,3,Tues,Ozone,0.372761349,37.936013,-122.026154
Contra Costa,3,Tues,SO2,0.014315062,37.936013,-122.026154
Contra Costa,3,Wed,CO,0.011378738,37.936013,-122.026154
Contra Costa,3,Wed,NO2,0.074295652,37.936013,-122.026154
Contra Costa,3,Wed,Ozone,0.295390365,37.936013,-122.026154
Contra Costa,3,Wed,SO2,0.014074516,37.936013,-122.026154
Contra Costa,3,Thurs,CO,0.010774327,37.936013,-122.026154
Contra Costa,3,Thurs,NO2,0.065643478,37.936013,-122.026154
Contra Costa,3,Thurs,Ozone,0.323146998,37.936013,-122.026154
Contra Costa,3,Thurs,SO2,0.015251358,37.936013,-122.026154
Contra Costa,3,Fri,CO,0.010517598,37.936013,-122.026154
Contra Costa,3,Fri,NO2,0.06448913,37.936013,-122.026154
Contra Costa,3,Fri,Ozone,0.328881988,37.936013,-122.026154
Contra Costa,3,Fri,SO2,0.013116049,37.936013,-122.026154
Contra Costa,3,Sat,CO,0.01005176,37.936013,-122.026154
Contra Costa,3,Sat,NO2,0.036202899,37.936013,-122.026154
Contra Costa,3,Sat,Ozone,0.380279503,37.936013,-122.026154
Contra Costa,3,Sat,SO2,0.012598639,37.936013,-122.026154
Contra Costa,4,Sun,CO,0.009225974,37.936013,-122.026154
Contra Costa,4,Sun,NO2,0.035610354,37.936013,-122.026154
Contra Costa,4,Sun,Ozone,0.475788244,37.936013,-122.026154
Contra Costa,4,Sun,SO2,0.016219753,37.936013,-122.026154
Contra Costa,4,Mon,CO,0.009149528,37.936013,-122.026154
Contra Costa,4,Mon,NO2,0.055094851,37.936013,-122.026154
Contra Costa,4,Mon,Ozone,0.479519938,37.936013,-122.026154
