County,Hour,Pollutant,Sample,Latitude,Longitude
Fresno,20,SO2,0.00584022,36.785322,-119.774174
Fresno,21,CO,0.010482381,36.785322,-119.774174
Fresno,21,NO2,0.134527651,36.705506,-119.741966
Fresno,21,Ozone,0.382107524,36.705506,-119.741966
Fresno,21,SO2,0.005428834,36.785322,-119.774174
Fresno,22,CO,0.010169416,36.785322,-119.774174
Fresno,22,NO2,0.122784383,36.705506,-119.741966
Fresno,22,Ozone,0.350704385,36.705506,-119.741966
Fresno,22,SO2,0.005109275,36.785322,-119.774174
Fresno,23,CO,0.009599788,36.785322,-119.774174
Fresno,23,NO2,0.111770508,36.705506,-119.741966
Fresno,23,Ozone,0.32157007,36.705506,-119.741966
Fresno,23,SO2,0.004525253,36.785322,-119.774174
Humboldt,0,CO,0.006576169,40.776944,-124.1775
Humboldt,0,NO2,0.013241908,40.776944,-124.1775
Humboldt,0,Ozone,0.315490534,40.776944,-124.1775
Humboldt,0,SO2,0.003422427,40.776944,-124.1775
Humboldt,1,CO,0.006447761,40.776944,-124.1775
Humboldt,1,NO2,0.012483871,40.776944,-124.1775
Humboldt,1,Ozone,0.321749084,40.776944,-124.1775
Humboldt,1,SO2,0.003370956,40.776944,-124.1775
Humboldt,2,CO,0.006318269,40.776944,-124.1775
Humboldt,2,NO2,0.012270869,40.776944,-124.1775
Humboldt,2,Ozone,0.305991471,40.776944,-124.1775
Humboldt,2,SO2,0.00342003,40.776944,-124.1775
Humboldt,3,CO,0.006200522,40.776944,-124.1775
Humboldt,3,NO2,0.012714765,40.776944,-124.1775
Humboldt,3,Ozone,0.311010144,40.776944,-124.1775
Humboldt,3,SO2,0.003372549,40.776944,-124.1775
Humboldt,4,CO,0.006092818,40.776944,-124.1775
Humboldt,4,NO2,0.014699769,40.776944,-124.1775
Humboldt,4,Ozone,0.3003207,40.776944,-124.1775
Humboldt,4,SO2,0.003292278,40.776944,-124.1775
Humboldt,5,CO,0.006197513,40.776944,-124.1775
Humboldt,5,NO2,0.015768566,40.776944,-124.1775
Humboldt,5,Ozone,0.307438017,40.776944,-124.1775
