"","County","Dayofweek","Pollutant","Sample","Latitude","Longitude"
"82","Fresno","Mon","CO",0.00834844222749203,36.785322,-119.774174
"83","Fresno","Mon","NO2",0.104764435279188,36.705506,-119.741966
"84","Fresno","Mon","Ozone",0.455393477490252,36.705506,-119.741966
"85","Fresno","Mon","SO2",0.0055945252352438,36.785322,-119.774174
"86","Fresno","Tues","CO",0.00852019397858153,36.785322,-119.774174
"87","Fresno","Tues","NO2",0.113145251396648,36.705506,-119.741966
"88","Fresno","Tues","Ozone",0.451607275034366,36.705506,-119.741966
"89","Fresno","Tues","SO2",0.00601813685078318,36.785322,-119.774174
"90","Fresno","Wed","CO",0.00858832390180353,36.785322,-119.774174
"91","Fresno","Wed","NO2",0.115589607965152,36.705506,-119.741966
"92","Fresno","Wed","Ozone",0.466663739506129,36.705506,-119.741966
"93","Fresno","Wed","SO2",0.00657095158597663,36.785322,-119.774174
"94","Fresno","Thurs","CO",0.00858152990264256,36.785322,-119.774174
"95","Fresno","Thurs","NO2",0.115282761860028,36.705506,-119.741966
"96","Fresno","Thurs","Ozone",0.460199441703682,36.705506,-119.741966
"97","Fresno","Thurs","SO2",0.00620802620802621,36.785322,-119.774174
"98","Fresno","Fri","CO",0.00873332555879495,36.785322,-119.774174
"99","Fresno","Fri","NO2",0.113773622047244,36.705506,-119.741966
"100","Fresno","Fri","Ozone",0.461144696285953,36.705506,-119.741966
"101","Fresno","Fri","SO2",0.00645083538756505,36.785322,-119.774174
"102","Fresno","Sat","CO",0.0081024070879724,36.785322,-119.774174
"103","Fresno","Sat","NO2",0.0915831246086412,36.705506,-119.741966
"104","Fresno","Sat","Ozone",0.480949493199342,36.705506,-119.741966
"105","Fresno","Sat","SO2",0.00644533120510774,36.785322,-119.774174
"106","Humboldt","Sun","CO",0.00635070451021371,40.776944,-124.1775
"107","Humboldt","Sun","NO2",0.0149126213592233,40.776944,-124.1775
"108","Humboldt","Sun","Ozone",0.370914396887159,40.776944,-124.1775
"109","Humboldt","Sun","SO2",0.00340392156862745,40.776944,-124.1775
"110","Humboldt","Mon","CO",0.00666503308012742,40.776944,-124.1775
"111","Humboldt","Mon","NO2",0.020608797379504,40.776944,-124.1775
"112","Humboldt","Mon","Ozone",0.356384487329675,40.776944,-124.1775
"113","Humboldt","Mon","SO2",0.00353746456055083,40.776944,-124.1775
"114","Humboldt","Tues","CO",0.00675181598062954,40.776944,-124.1775
"115","Humboldt","Tues","NO2",0.0196892448512586,40.776944,-124.1775
"116","Humboldt","Tues","Ozone",0.337936507936508,40.776944,-124.1775
"117","Humboldt","Tues","SO2",0.00353050505050505,40.776944,-124.1775
"118","Humboldt","Wed","CO",0.00663971640027365,40.776944,-124.1775
"119","Humboldt","Wed","NO2",0.0198775797373358,40.776944,-124.1775
"120","Humboldt","Wed","Ozone",0.336686903729402,40.776944,-124.1775
"121","Humboldt","Wed","SO2",0.0035380377198559,40.776944,-124.1775
"122","Humboldt","Thurs","CO",0.0063681342769462,40.776944,-124.1775
"123","Humboldt","Thurs","NO2",0.0179540337711069,40.776944,-124.1775
"124","Humboldt","Thurs","Ozone",0.348455091318489,40.776944,-124.1775
"125","Humboldt","Thurs","SO2",0.00333769633507853,40.776944,-124.1775
"126","Humboldt","Fri","CO",0.006337404850416,40.776944,-124.1775
"127","Humboldt","Fri","NO2",0.017487815684537,40.776944,-124.1775
"128","Humboldt","Fri","Ozone",0.363962940824865,40.776944,-124.1775
"129","Humboldt","Fri","SO2",0.00338603902635285,40.776944,-124.1775
"130","Humboldt","Sat","CO",0.00660574258593243,40.776944,-124.1775
"131","Humboldt","Sat","NO2",0.0165977426636569,40.776944,-124.1775
"132","Humboldt","Sat","Ozone",0.359828141783029,40.776944,-124.1775
"133","Humboldt","Sat","SO2",0.00345853658536585,40.776944,-124.1775
"134","Imperial","Sun","CO",0.00600985122056912,32.676186,-115.484144
"135","Imperial","Sun","NO2",0.0612632687447346,32.676186,-115.484144
"136","Imperial","Sun","Ozone",0.446620713424091,32.676186,-115.484144
"137","Imperial","Sun","SO2",0.00828837998303647,32.676186,-115.484144
"138","Imperial","Mon","CO",0.00652730669732682,32.676186,-115.484144
"139","Imperial","Mon","NO2",0.0750739657333891,32.676186,-115.484144
"140","Imperial","Mon","Ozone",0.452039107100126,32.676186,-115.484144
"141","Imperial","Mon","SO2",0.00844035674470457,32.676186,-115.484144
"142","Imperial","Tues","CO",0.0073938982070561,32.676186,-115.484144
"143","Imperial","Tues","NO2",0.0895602027883397,32.676186,-115.484144
"144","Imperial","Tues","Ozone",0.437110723686459,32.676186,-115.484144
"145","Imperial","Tues","SO2",0.00999325463743676,32.676186,-115.484144
"146","Imperial","Wed","CO",0.00733832431642053,32.676186,-115.484144
"147","Imperial","Wed","NO2",0.0915944660613921,32.676186,-115.484144
