County,Season,Pollutant,Sample,Latitude,Longitude
Humboldt,2,CO,0.005494073,40.776944,-124.1775
Humboldt,2,NO2,0.020394777,40.776944,-124.1775
Humboldt,2,Ozone,0.406420823,40.776944,-124.1775
Humboldt,2,SO2,0.001608358,40.776944,-124.1775
Humboldt,3,CO,0.005015569,40.776944,-124.1775
Humboldt,3,NO2,0.010621608,40.776944,-124.1775
Humboldt,3,Ozone,0.264562515,40.776944,-124.1775
Humboldt,3,SO2,0.004883325,40.776944,-124.1775
Humboldt,4,CO,0.00821356,40.776944,-124.1775
Humboldt,4,NO2,0.022634941,40.776944,-124.1775
Humboldt,4,Ozone,0.348864616,40.776944,-124.1775
Humboldt,4,SO2,0.002067818,40.776944,-124.1775
Imperial,1,CO,0.01339184,32.676186,-115.484144
Imperial,1,NO2,0.109272925,32.676186,-115.484144
Imperial,1,Ozone,0.368807897,32.676186,-115.484144
Imperial,1,SO2,0.010638462,32.676186,-115.484144
Imperial,2,CO,0.004445796,32.676186,-115.484144
Imperial,2,NO2,0.048286861,32.676186,-115.484144
Imperial,2,Ozone,0.542220531,32.676186,-115.484144
Imperial,2,SO2,0.011820065,32.676186,-115.484144
Imperial,3,CO,0.005088956,32.676186,-115.484144
Imperial,3,NO2,0.058000714,32.676186,-115.484144
Imperial,3,Ozone,0.470782569,32.676186,-115.484144
Imperial,3,SO2,0.008038749,32.676186,-115.484144
Imperial,4,CO,0.007656303,32.676186,-115.484144
Imperial,4,NO2,0.114778042,32.676186,-115.484144
Imperial,4,Ozone,0.306380729,32.676186,-115.484144
Imperial,4,SO2,0.007116382,32.676186,-115.484144
Los Angeles,1,CO,0.012270316,34.1365,-117.92391
Los Angeles,1,NO2,0.188594161,34.1365,-117.92391
Los Angeles,1,Ozone,0.353299966,34.1365,-117.92391
Los Angeles,1,SO2,0.007226365,34.06659,-118.22688
Los Angeles,2,CO,0.007603005,34.1365,-117.92391
Los Angeles,2,NO2,0.109859285,34.1365,-117.92391
Los Angeles,2,Ozone,0.515182447,34.1365,-117.92391
Los Angeles,2,SO2,0.0062907,34.06659,-118.22688
Los Angeles,3,CO,0.007563449,34.1365,-117.92391
Los Angeles,3,NO2,0.123247375,34.1365,-117.92391
Los Angeles,3,Ozone,0.490715583,34.1365,-117.92391
Los Angeles,3,SO2,0.008631803,34.06659,-118.22688
Los Angeles,4,CO,0.013333263,34.1365,-117.92391
Los Angeles,4,NO2,0.196159889,34.1365,-117.92391
Los Angeles,4,Ozone,0.29388131,34.1365,-117.92391
Los Angeles,4,SO2,0.009315035,34.06659,-118.22688
Orange,1,CO,0.013318642,33.83062,-117.93845
Orange,1,NO2,0.207662805,33.83062,-117.93845
Orange,1,Ozone,0.369523456,33.83062,-117.93845
Orange,1,SO2,0.001968968,33.67464,-117.92568
Orange,2,CO,0.008376501,33.83062,-117.93845
Orange,2,NO2,0.104729277,33.83062,-117.93845
