"","Latitude","Longitude","County","Weekend_day","Pollutant","Sample"
"143",33.92513,-117.95264,"Orange","weekday","Ozone",0.349751363877758
"144",33.92513,-117.95264,"Orange","weekend","CO",0.00731438372947807
"145",33.92513,-117.95264,"Orange","weekend","NO2",0.125150610012621
"146",33.92513,-117.95264,"Orange","weekend","Ozone",0.382901951535876
"147",33.9397,-115.4108,"Riverside","weekday","Ozone",0.631687651331719
"148",33.9397,-115.4108,"Riverside","weekend","Ozone",0.621230492196879
"149",33.944713,-116.830074,"Riverside","weekday","NO2",0.0367413194444444
"150",33.944713,-116.830074,"Riverside","weekday","Ozone",0.670890223921354
"151",33.944713,-116.830074,"Riverside","weekend","NO2",0.0269153911564626
"152",33.944713,-116.830074,"Riverside","weekend","Ozone",0.672864224554175
"153",33.9508,-118.43043,"Los Angeles","weekday","CO",0.007438823036546
"154",33.9508,-118.43043,"Los Angeles","weekday","NO2",0.104536785714286
"155",33.9508,-118.43043,"Los Angeles","weekday","Ozone",0.438570457084568
"156",33.9508,-118.43043,"Los Angeles","weekday","SO2",0.00732490604714725
"157",33.9508,-118.43043,"Los Angeles","weekend","CO",0.0072468937637477
"158",33.9508,-118.43043,"Los Angeles","weekend","NO2",0.0945805484147386
"159",33.9508,-118.43043,"Los Angeles","weekend","Ozone",0.456497241460265
"160",33.9508,-118.43043,"Los Angeles","weekend","SO2",0.00728841118919664
"161",33.995638,-117.493304,"Riverside","weekday","CO",0.0067248089952429
"162",33.995638,-117.493304,"Riverside","weekday","NO2",0.143470953660175
"163",33.995638,-117.493304,"Riverside","weekday","Ozone",0.428525856279382
"164",33.995638,-117.493304,"Riverside","weekend","CO",0.00716664684191745
"165",33.995638,-117.493304,"Riverside","weekend","NO2",0.118381524440762
"166",33.995638,-117.493304,"Riverside","weekend","Ozone",0.452278376139188
"167",33.99958,-117.41601,"Riverside","weekday","CO",0.0097182992181323
"168",33.99958,-117.41601,"Riverside","weekday","NO2",0.156161045531197
"169",33.99958,-117.41601,"Riverside","weekday","Ozone",0.429406276088985
"170",33.99958,-117.41601,"Riverside","weekday","SO2",0.00320721315080543
"171",33.99958,-117.41601,"Riverside","weekend","CO",0.00999788406435971
"172",33.99958,-117.41601,"Riverside","weekend","NO2",0.130063452822414
"173",33.99958,-117.41601,"Riverside","weekend","Ozone",0.453854632294409
"174",33.99958,-117.41601,"Riverside","weekend","SO2",0.00292370795734208
"175",34.01194,-118.06995,"Los Angeles","weekday","CO",0.0127017526847834
"176",34.01194,-118.06995,"Los Angeles","weekday","NO2",0.213666666666667
"177",34.01194,-118.06995,"Los Angeles","weekday","Ozone",0.300094017516948
"178",34.01194,-118.06995,"Los Angeles","weekend","CO",0.0123335856968144
"179",34.01194,-118.06995,"Los Angeles","weekend","NO2",0.165350789692436
"180",34.01194,-118.06995,"Los Angeles","weekend","Ozone",0.351478446740292
"181",34.030833,-117.61722,"San Bernardino","weekday","NO2",0.342542603841734
"182",34.030833,-117.61722,"San Bernardino","weekend","NO2",0.228708470394737
"183",34.05111,-118.45636,"Los Angeles","weekday","CO",0.00892120191235849
"184",34.05111,-118.45636,"Los Angeles","weekday","NO2",0.120146722164412
"185",34.05111,-118.45636,"Los Angeles","weekday","Ozone",0.411347816393767
"186",34.05111,-118.45636,"Los Angeles","weekend","CO",0.00898448001955273
"187",34.05111,-118.45636,"Los Angeles","weekend","NO2",0.104630072618539
"188",34.05111,-118.45636,"Los Angeles","weekend","Ozone",0.42558862998658
"189",34.05977,-117.14731,"San Bernardino","weekday","Ozone",0.504955684742209
"190",34.05977,-117.14731,"San Bernardino","weekend","Ozone",0.548030374940674
"191",34.06659,-118.22688,"Los Angeles","weekday","CO",0.0122303307340683
"192",34.06659,-118.22688,"Los Angeles","weekday","NO2",0.220065409446143
"193",34.06659,-118.22688,"Los Angeles","weekday","Ozone",0.330992653340167
"194",34.06659,-118.22688,"Los Angeles","weekday","SO2",0.00439984231570648
"195",34.06659,-118.22688,"Los Angeles","weekend","CO",0.0114062012554689
"196",34.06659,-118.22688,"Los Angeles","weekend","NO2",0.176910404624277
"197",34.06659,-118.22688,"Los Angeles","weekend","Ozone",0.376539485359361
"198",34.06659,-118.22688,"Los Angeles","weekend","SO2",0.00370357894736842
"199",34.06703,-117.7514,"Los Angeles","weekday","CO",0.00906444298149367
"200",34.06703,-117.7514,"Los Angeles","weekday","NO2",0.213846815834768
"201",34.06703,-117.7514,"Los Angeles","weekday","Ozone",0.335157145295394
"202",34.06703,-117.7514,"Los Angeles","weekend","CO",0.00851831733961012
"203",34.06703,-117.7514,"Los Angeles","weekend","NO2",0.170779797125951
"204",34.06703,-117.7514,"Los Angeles","weekend","Ozone",0.387235198261814
"205",34.067802,-117.526711,"San Bernardino","weekday","CO",0.0138165756131582
"206",34.067802,-117.526711,"San Bernardino","weekday","NO2",0.321595400766539
"207",34.067802,-117.526711,"San Bernardino","weekend","CO",0.0125698387463093
"208",34.067802,-117.526711,"San Bernardino","weekend","NO2",0.222926553672316
"209",34.06957,-116.38893,"San Bernardino","weekday","Ozone",0.716566898560103
"210",34.06957,-116.38893,"San Bernardino","weekend","Ozone",0.692026314297057
"211",34.10002,-117.49201,"San Bernardino","weekday","CO",0.00614508453984003
"212",34.10002,-117.49201,"San Bernardino","weekday","NO2",0.196314300680985
"213",34.10002,-117.49201,"San Bernardino","weekday","Ozone",0.381995044282525
"214",34.10002,-117.49201,"San Bernardino","weekday","SO2",0.00538500753099293
"215",34.10002,-117.49201,"San Bernardino","weekend","CO",0.00548327727359269
"216",34.10002,-117.49201,"San Bernardino","weekend","NO2",0.146239879414298
"217",34.10002,-117.49201,"San Bernardino","weekend","Ozone",0.442754714707477
"218",34.10002,-117.49201,"San Bernardino","weekend","SO2",0.0043458904109589
"219",34.10374,-117.62914,"San Bernardino","weekday","CO",0.0142086129071612
"220",34.10374,-117.62914,"San Bernardino","weekday","NO2",0.178895213675214
"221",34.10374,-117.62914,"San Bernardino","weekday","Ozone",0.451599365621569
"222",34.10374,-117.62914,"San Bernardino","weekend","CO",0.0133775300674685
"223",34.10374,-117.62914,"San Bernardino","weekend","NO2",0.133341332230037
"224",34.10374,-117.62914,"San Bernardino","weekend","Ozone",0.516845751864248
"225",34.10688,-117.27411,"San Bernardino","weekday","CO",0.0148509763617677
"226",34.10688,-117.27411,"San Bernardino","weekday","NO2",0.176485184543407
"227",34.10688,-117.27411,"San Bernardino","weekday","Ozone",0.44124339505879
"228",34.10688,-117.27411,"San Bernardino","weekend","CO",0.0144866535877772
"229",34.10688,-117.27411,"San Bernardino","weekend","NO2",0.141887640449438
"230",34.10688,-117.27411,"San Bernardino","weekend","Ozone",0.490511161624993
"231",34.1326,-118.1272,"Los Angeles","weekday","CO",0.00780742178025709
"232",34.1326,-118.1272,"Los Angeles","weekday","NO2",0.1645979976243
"233",34.1326,-118.1272,"Los Angeles","weekday","Ozone",0.3704
"234",34.1326,-118.1272,"Los Angeles","weekend","CO",0.00709380234505863
"235",34.1326,-118.1272,"Los Angeles","weekend","NO2",0.129335845896147
"236",34.1326,-118.1272,"Los Angeles","weekend","Ozone",0.409871349307969
"237",34.1365,-117.92391,"Los Angeles","weekday","CO",0.00978601315002989
"238",34.1365,-117.92391,"Los Angeles","weekday","NO2",0.179935564853556
"239",34.1365,-117.92391,"Los Angeles","weekday","Ozone",0.417138552776316
"240",34.1365,-117.92391,"Los Angeles","weekend","CO",0.00922279189000233
"241",34.1365,-117.92391,"Los Angeles","weekend","NO2",0.131784257748777
"242",34.1365,-117.92391,"Los Angeles","weekend","Ozone",0.477318806804941
"243",34.14435,-117.85036,"Los Angeles","weekday","CO",0.00658936775322687
"244",34.14435,-117.85036,"Los Angeles","weekday","NO2",0.125650336700337
"245",34.14435,-117.85036,"Los Angeles","weekday","Ozone",0.451227090666343
"246",34.14435,-117.85036,"Los Angeles","weekend","CO",0.00623494152905918
"247",34.14435,-117.85036,"Los Angeles","weekend","NO2",0.091986847513358
"248",34.14435,-117.85036,"Los Angeles","weekend","Ozone",0.503499263622975
"249",34.19925,-118.53276,"Los Angeles","weekday","CO",0.0151893052302888
"250",34.19925,-118.53276,"Los Angeles","weekday","NO2",0.134723961998593
"251",34.19925,-118.53276,"Los Angeles","weekday","Ozone",0.454415495706479
"252",34.19925,-118.53276,"Los Angeles","weekend","CO",0.0147240994299818
"253",34.19925,-118.53276,"Los Angeles","weekend","NO2",0.113721009841677
"254",34.19925,-118.53276,"Los Angeles","weekend","Ozone",0.468302285949345
"255",34.210154,-118.870496,"Ventura","weekday","Ozone",0.444172902221917
"256",34.210154,-118.870496,"Ventura","weekend","Ozone",0.443952116191989
"257",34.2431,-117.27235,"San Bernardino","weekday","Ozone",0.627147094830022
"258",34.2431,-117.27235,"San Bernardino","weekend","Ozone",0.638671556642217
"259",34.252378,-119.143176,"Ventura","weekday","NO2",0.0585412120194729
"260",34.252378,-119.143176,"Ventura","weekday","Ozone",0.389460338723567
"261",34.252378,-119.143176,"Ventura","weekend","NO2",0.0425332225913621
"262",34.252378,-119.143176,"Ventura","weekend","Ozone",0.403968913146654
"263",34.276362,-118.683757,"Ventura","weekday","NO2",0.0868700621953269
"264",34.276362,-118.683757,"Ventura","weekday","Ozone",0.461093918675783
"265",34.276362,-118.683757,"Ventura","weekend","NO2",0.0693913043478261
"266",34.276362,-118.683757,"Ventura","weekend","Ozone",0.464931771525178
"267",34.38344,-118.5284,"Los Angeles","weekday","CO",0.00617689896072478
"268",34.38344,-118.5284,"Los Angeles","weekday","NO2",0.110368522072937
"269",34.38344,-118.5284,"Los Angeles","weekday","Ozone",0.468504149683249
"270",34.38344,-118.5284,"Los Angeles","weekend","CO",0.00582435989471165
"271",34.38344,-118.5284,"Los Angeles","weekend","NO2",0.0801865926558497
"272",34.38344,-118.5284,"Los Angeles","weekend","Ozone",0.486552157519899
"273",34.402773,-119.458454,"Santa Barbara","weekday","NO2",0.0125569921742089
"274",34.402773,-119.458454,"Santa Barbara","weekday","Ozone",0.371821688176828
"275",34.402773,-119.458454,"Santa Barbara","weekend","NO2",0.0103202697008007
"276",34.402773,-119.458454,"Santa Barbara","weekend","Ozone",0.376176200672989
"277",34.404268,-118.809946,"Ventura","weekday","Ozone",0.440980037129564
"278",34.404268,-118.809946,"Ventura","weekend","Ozone",0.44370815840236
"279",34.414942,-119.879511,"Santa Barbara","weekday","SO2",0.00754907010014306
"280",34.414942,-119.879511,"Santa Barbara","weekend","SO2",0.00734299516908213
"281",34.418073,-117.285597,"San Bernardino","weekday","Ozone",0.596616541353383
"282",34.418073,-117.285597,"San Bernardino","weekend","Ozone",0.606548365895919
"283",34.426126,-117.563939,"San Bernardino","weekday","Ozone",0.658609009543589
"284",34.426126,-117.563939,"San Bernardino","weekend","Ozone",0.658891369047619
"285",34.427775,-119.691218,"Santa Barbara","weekday","CO",0.00692654988795991
"286",34.427775,-119.691218,"Santa Barbara","weekday","NO2",0.0827476986021139
"287",34.427775,-119.691218,"Santa Barbara","weekday","Ozone",0.380541045670197
"288",34.427775,-119.691218,"Santa Barbara","weekend","CO",0.00626385720196229
"289",34.427775,-119.691218,"Santa Barbara","weekend","NO2",0.0618544917756221
"290",34.427775,-119.691218,"Santa Barbara","weekend","Ozone",0.408014658076718
"291",34.44551,-119.8284,"Santa Barbara","weekday","CO",0.00461257843280315
"292",34.44551,-119.8284,"Santa Barbara","weekday","NO2",0.0305656451002649
"293",34.44551,-119.8284,"Santa Barbara","weekday","Ozone",0.383370573662991
"294",34.44551,-119.8284,"Santa Barbara","weekend","CO",0.00443177769861062
"295",34.44551,-119.8284,"Santa Barbara","weekend","NO2",0.0206318812829105
"296",34.44551,-119.8284,"Santa Barbara","weekend","Ozone",0.393946228262805
"297",34.448048,-119.231321,"Ventura","weekday","Ozone",0.392496813810682
"298",34.448048,-119.231321,"Ventura","weekend","Ozone",0.390419433566037
"299",34.46245,-120.02551,"Santa Barbara","weekday","NO2",0.0301091854419411
"300",34.46245,-120.02551,"Santa Barbara","weekday","Ozone",0.461005118659842
"301",34.46245,-120.02551,"Santa Barbara","weekday","SO2",0.00123643012227174
"302",34.46245,-120.02551,"Santa Barbara","weekend","NO2",0.022569119523607
"303",34.46245,-120.02551,"Santa Barbara","weekend","Ozone",0.469275187969925
"304",34.46245,-120.02551,"Santa Barbara","weekend","SO2",0.0013030047739399
"305",34.48974,-120.04692,"Santa Barbara","weekday","CO",0.00414851534725352
"306",34.48974,-120.04692,"Santa Barbara","weekday","NO2",0.00262895589334662
"307",34.48974,-120.04692,"Santa Barbara","weekday","Ozone",0.534969031673297
"308",34.48974,-120.04692,"Santa Barbara","weekday","SO2",0.0015762437548378
"309",34.48974,-120.04692,"Santa Barbara","weekend","CO",0.00382135462880805
"310",34.48974,-120.04692,"Santa Barbara","weekend","NO2",0.00274818401937046
"311",34.48974,-120.04692,"Santa Barbara","weekend","Ozone",0.525679631953158
"312",34.48974,-120.04692,"Santa Barbara","weekend","SO2",0.00106824925816024
"313",34.510014,-117.331433,"San Bernardino","weekday","CO",0.0124750333308178
"314",34.510014,-117.331433,"San Bernardino","weekday","NO2",0.121771926271015
"315",34.510014,-117.331433,"San Bernardino","weekday","Ozone",0.530046786113031
"316",34.510014,-117.331433,"San Bernardino","weekday","SO2",0.00805744410107253
"317",34.510014,-117.331433,"San Bernardino","weekend","CO",0.0118940052128584
"318",34.510014,-117.331433,"San Bernardino","weekend","NO2",0.0974869611495476
"319",34.510014,-117.331433,"San Bernardino","weekend","Ozone",0.535420656198136
"320",34.510014,-117.331433,"San Bernardino","weekend","SO2",0.00751071953010279
"321",34.52744,-120.1965,"Santa Barbara","weekday","NO2",0.0271223021582734
"322",34.52744,-120.1965,"Santa Barbara","weekday","Ozone",0.429758863177361
"323",34.52744,-120.1965,"Santa Barbara","weekend","NO2",0.0173617560151963
"324",34.52744,-120.1965,"Santa Barbara","weekend","Ozone",0.44000600240096
"325",34.54166,-119.79146,"Santa Barbara","weekday","NO2",0.00808703535811423
"326",34.54166,-119.79146,"Santa Barbara","weekday","Ozone",0.458458409494632
"327",34.54166,-119.79146,"Santa Barbara","weekend","NO2",0.00683348095659876
"328",34.54166,-119.79146,"Santa Barbara","weekend","Ozone",0.450927273878094
"329",34.596095,-120.631282,"Santa Barbara","weekday","CO",0.00555175983436853
"330",34.596095,-120.631282,"Santa Barbara","weekday","NO2",0.00312329266071754
"331",34.596095,-120.631282,"Santa Barbara","weekday","Ozone",0.479667654257375
"332",34.596095,-120.631282,"Santa Barbara","weekday","SO2",0.000558794946550049
"333",34.596095,-120.631282,"Santa Barbara","weekend","CO",0.00564499164759018
"334",34.596095,-120.631282,"Santa Barbara","weekend","NO2",0.00277296360485269
"335",34.596095,-120.631282,"Santa Barbara","weekend","Ozone",0.479611289923248
"336",34.596095,-120.631282,"Santa Barbara","weekend","SO2",0.000554572271386431
"337",34.605819,-120.075069,"Santa Barbara","weekday","Ozone",0.395391474346748
"338",34.605819,-120.075069,"Santa Barbara","weekend","Ozone",0.401414898044112
"339",34.63782,-120.4575,"Santa Barbara","weekday","CO",0.00611696048632219
"340",34.63782,-120.4575,"Santa Barbara","weekday","NO2",0.0353097345132743
"341",34.63782,-120.4575,"Santa Barbara","weekday","Ozone",0.379028493630264
"342",34.63782,-120.4575,"Santa Barbara","weekday","SO2",0.00422487223168654
"343",34.63782,-120.4575,"Santa Barbara","weekend","CO",0.00583496007098492
"344",34.63782,-120.4575,"Santa Barbara","weekend","NO2",0.0244057971014493
"345",34.63782,-120.4575,"Santa Barbara","weekend","Ozone",0.39052942916297
"346",34.63782,-120.4575,"Santa Barbara","weekend","SO2",0.00356107660455487
"347",34.671394,-118.131456,"Los Angeles","weekday","CO",0.00735760001976919
"348",34.671394,-118.131456,"Los Angeles","weekday","NO2",0.0898416
"349",34.671394,-118.131456,"Los Angeles","weekday","Ozone",0.570849725612048
"350",34.671394,-118.131456,"Los Angeles","weekend","CO",0.00676524502016375
"351",34.671394,-118.131456,"Los Angeles","weekend","NO2",0.0649231837112448
"352",34.671394,-118.131456,"Los Angeles","weekend","Ozone",0.594736842105263
"353",34.725538,-120.428774,"Santa Barbara","weekday","NO2",0.00729449040661855
"354",34.725538,-120.428774,"Santa Barbara","weekday","Ozone",0.475368258936334
"355",34.725538,-120.428774,"Santa Barbara","weekday","SO2",0
"356",34.725538,-120.428774,"Santa Barbara","weekend","NO2",0.00619778346121057
"357",34.725538,-120.428774,"Santa Barbara","weekend","Ozone",0.471945646945647
"358",34.725538,-120.428774,"Santa Barbara","weekend","SO2",0
"359",34.895007,-117.024484,"San Bernardino","weekday","CO",0.00589678078691875
"360",34.895007,-117.024484,"San Bernardino","weekday","NO2",0.146905241591258
"361",34.895007,-117.024484,"San Bernardino","weekday","Ozone",0.490960994216808
"362",34.895007,-117.024484,"San Bernardino","weekend","CO",0.00576712904581757
"363",34.895007,-117.024484,"San Bernardino","weekend","NO2",0.128775313807531
"364",34.895007,-117.024484,"San Bernardino","weekend","Ozone",0.502219618965411
