Country or Area,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
Bahamas,22817.2309500308,22497.4497825372,22554.4541434095,22554.5156771969,21514.8881080742,21920.5202034199,22043.0138508371,23657.365753743,24306.1438442817,23721.1561698744,23405.8793262119,21995.5199495255,22008.4347267044,22505.4037843258,21497.3072495035,21241.1665004985,20505.9478254057,18997.7985409613,17127.2407376432,16035.101930287,14308.7222355087,13805.8835858979,13328.0092858592,13656.0155674043,13927.2999728091,14435.6764311183,14213.5433721784,12666.8213397098,11549.6451881951,10585.7621313751,9613.81487873055,8444.95458493915,7959.21517770853,8290.64988685154,8416.59512271345,7503.59782863718,7666.02226569609,6627.71630499356,5893.87116428631,5036.05682575092,4722.91832409692,4086.97994433453,3900.88886962294,3506.1530217494,3480.13925359661,3355.89929806076
Bahrain,22600.2140981035,24514.9796026321,24113.6108121006,23057.7855906142,22033.9211219071,20386.0175551116,19166.7101205123,23043.0224022496,21167.6308179396,19669.0064353013,18418.0726099591,16275.1805750568,14541.6161358169,13225.7678636038,12917.3955749991,13590.5210900261,11830.8627011805,11322.4298173812,12236.5509704569,12173.8075266198,12039.3958305887,11672.7584574447,11100.5807472388,10391.6424113226,10198.2081512706,9898.55766895953,9307.91899096454,8970.16197373599,8464.24722398318,8628.70031833392,10669.4230576562,11752.6210807005,11545.1284235482,11575.4033599568,11358.4910056052,10459.2635826022,8516.91445124864,7568.77581063954,7070.01920983265,6005.46837438438,4441.59055280607,4454.50998324913,3419.79958211655,2507.01442681806,2060.54793196445,1980.28902388413
Bangladesh,1207.89593214378,1087.9071871175,976.759228056485,830.229790453155,805.096311902639,755.244900756262,681.270984644679,618.181526736676,544.541984159395,483.098508716679,403.191114167151,397.248356175035,372.946410285564,346.438305002283,339.619225059529,346.35382471155,347.645911643366,338.247296855563,333.155171067882,328.927421244391,319.739452851977,290.515621034991,279.307402969023,276.522638145233,277.08793055245,265.481589356156,260.680880125557,246.22834862083,234.076107469273,211.613176934764,206.085142886464,203.998425156323,178.728900499979,179.845925366153,202.965227592906,205.609330907166,186.477916983341,165.707939576724,132.929116613893,129.53922360084,118.963408835438,115.809937897173,98.6277924866216,91.9727661949667,83.9813070996187,95.248245687266
Barbados,15429.3960698767,15360.1171571741,15473.1100200706,15385.325662334,15533.9234930613,15905.7253027908,16523.3816695755,16570.3261633882,16462.3724443608,15645.9060500291,14223.0478116002,12868.7873273012,12028.3477986197,11675.3045355258,11513.8943277451,11568.0519422765,11263.9446675591,10788.2470171562,9603.88695756413,9120.4783033767,8585.19334848016,8194.42077154707,7821.43820959288,7440.95749549934,7725.20772654728,7814.7203637844,7812.56730865587,7090.48760463245,6689.79567987019,6095.74865816513,5569.38047075556,5337.17478202943,4909.66449128735,4636.89462684568,4451.16117038091,4058.43928357593,3175.17721637418,2630.69440278361,2362.18961955102,2087.91756316581,1934.75639631832,1656.01771816722,1393.84382942089,1149.67567537762,1010.85528293785,903.791849560874
Belarus,5750.8383431033,8010.58790912708,7696.67820069619,6702.73914843148,6296.02182265872,5817.55576520578,5176.959327545,6377.20721456265,4737.90809518902,3852.50342302229,3133.62671398067,2386.76690472947,1826.5981914469,1485.36761777218,1249.0296140978,1046.79817238326,1213.20890354875,1514.44522165017,1397.03247961898,1431.86897574743,1363.79438194109,1488.95147051417,1646.54900008678,1736.66173549067,1878.0190332372,1844.75288633788,,,,,,,,,,,,,,,,,,,,
Belgium,40277.8058530984,47367.3850656175,46631.9577087262,44937.3296988788,47887.2927369906,44240.5916470588,44638.4878144907,48115.5763554398,44073.3364319071,38543.1571141435,36676.4864855199,35348.7098089874,30595.23443422,24976.5348297273,23065.8372251593,23168.672876347,25416.1034073304,25506.5100760355,24977.1272462857,27623.9284269743,28495.7491117226,24303.9968072951,22386.1177745338,23486.5051109113,21139.7640222177,20687.9062921533,16589.2397042297,16429.3885064922,15146.4556535815,12183.353529561,8766.12368337095,8476.83360582015,8872.63717532168,9377.94426079755,10672.4883778394,12937.7806011385,11881.150328396,10359.758498076,8492.16311621091,7304.65081014308,6758.9233193279,5776.91179221303,4930.88841663993,3850.36280196417,3093.14524630116,2778.2477111008
Belize,4789.37334916098,4884.36856209448,4719.13798653662,4674.29344652769,4517.12396071605,4344.13661153761,4258.84295134188,4470.22075678147,4324.93438906445,4187.32042538117,3933.30442955531,3831.59348389083,3679.88213590357,3556.61616044119,3419.20871488574,3364.46458117681,3063.91826762166,2991.45855859377,2952.96198693188,3001.30104738995,2834.26426107208,2738.27586548855,2684.41160843053,2408.38612399072,2263.67807792724,2161.80046067224,1979.34267182646,1758.97221058511,1586.10878469075,1343.98773367931,1268.52458221155,1315.31351735665,1212.93800539084,1183.1839364216,1307.21168832929,1350.66700890039,999.235712061596,869.599631580462,772.313509646619,609.065645492149,783.592007939407,686.385937252902,522.5105483596,326.712171367231,256.065840053924,206.347886029176
Benin,779.067857876455,903.45623159397,882.633271841026,807.686055351881,799.038785847713,732.955077006472,768.017158295527,794.878218330326,685.54019827368,609.011349693008,587.076457549433,570.67378417775,509.452771822135,411.962943124294,373.558173202453,369.702296141167,399.048030325165,405.293615997844,385.358941118785,413.141086682121,391.739558557391,280.806442600618,414.306986780827,424.579438749546,389.745670200346,398.488448000146,335.530037920803,373.441834350467,371.253220388433,326.8379872786,263.473144847668,272.717456107549,292.522882942318,348.38962715758,367.399021924809,399.258379346985,321.053247399824,270.728721998166,228.970855754427,214.546436392762,206.548052246635,173.93478043592,165.786942371657,138.492485478054,115.004855929543,110.756901041271
Bermuda,94399.9462615315,90600.3911760934,89843.0694725439,88388.8159040187,88401.3337947089,91555.3522844545,92354.2593226138,95606.8764893387,90881.2161933088,82506.539815256,74752.939591235,68933.9138307356,64532.1772639692,60934.596217538,57220.5500536372,54348.6991645194,52140.5720737674,49290.0442443041,46361.9189338729,43086.8881868263,40781.6781829202,38193.8995414756,36917.6179960023,34860.8083171206,34483.127627995,33397.6444666918,32480.8469251226,30838.6026638731,29060.267637703,26731.2198267143,24239.3666819408,22058.4526301588,21094.4602536446,19066.0773324059,17203.5713262501,15834.9255466298,13274.793134996,11494.968430863,10700.6819143371,9931.61910479264,8941.58523642095,8174.2408171937,7116.01120785476,6280.07069591585,5692.41372572949,5078.53172933481
Bhutan,2677.09308427205,2560.52037390301,2383.04164528011,2452.14892722295,2485.78905614992,2201.2815986261,1786.79918425406,1810.58657744966,1755.16029496195,1346.08552741302,1257.54935402777,1108.00697930218,1008.9350944326,897.439439942084,820.26518825271,778.363467794103,732.711009558533,675.481564138074,684.029409760973,596.516307519164,568.160500223818,507.551973400298,425.67017567851,444.442169444356,436.043811404479,510.919677343531,480.298526248999,511.774041395959,489.64427140977,420.869468611429,367.163237976364,367.914350955897,384.047085016257,350.36088259873,341.402124596384,311.695220848515,263.040985601805,242.515335515295,261.009657999126,244.317098798549,248.519357222705,275.774616748847,243.026962071515,224.163068231683,219.88420553402,211.954574247526
Bolivia (Plurinational State of),3076.7934157589,3124.08076441174,2948.0329129552,2645.29026877696,2377.71354197369,1981.17572446314,1776.86091188357,1736.92244349756,1389.62130170892,1233.59047469827,1046.43247682816,978.30188610324,917.368296649006,913.57584421895,958.23388925488,1006.99608590047,1012.50856578242,1058.71194196363,1006.97208608692,958.471148637089,887.458576759725,806.208240812993,788.403216608382,791.377719774988,764.139553659069,709.948654147923,701.463745455674,697.370065539956,667.3790656838,646.963057729776,663.600686332654,662.753477803976,657.471143744231,676.209568445938,680.123788697075,629.81596312629,598.641143498588,564.52855221685,528.404074322559,536.858465335963,478.873342284787,428.167370824659,260.367345768547,272.169369692347,237.85528967901,224.179244254375
